Роман
Васильченко
c14e1253e2d5f4fbddc6045edad01ca8
[6.4.2023 | 18:11:52] {"type":"cmd","data":"run"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:54] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:55] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:11:56] {"client-id":"ba0fe78e-7a16-4a92-be3a-03c8d56a3133","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
